MARCA;CODIGO;DESCRIPCION;CANTIDAD;MINIMO;UBICACIÓN;SERIAL;PRECIO_COSTO;PRECIO_DIST;PRECIO_INT;PRECIO_GENERAL;IMAGEN;;;;;;;;;;;;
ABB;1SDA013922R1;ABB - Kit de terminales 2x240mm2 Serie T6;;;;;95.86;143.79;167.76;191.72;;;;;;;;;;;;;
ABB;1SDA067053R1;ABB - Interruptor caja moldeada 100A 3P Serie XT2N;;;;;132.50;198.75;231.87;265.00;;;;;;;;;;;;;
ABB;1SDA067185R1;ABB - Kit de terminales 1x120..240mm2 con cubre borne Serie XT3;;;;;66.79;100.18;116.88;133.58;;;;;;;;;;;;;
ABB;1SDA067162R1;ABB - Kit de terminales 1x120..240mm2 con cubre borne Serie XT1;;;;;88.75;133.12;155.31;177.50;;;;;;;;;;;;;
ABB;1SDA055044R1;ABB - Kit de terminales traseros Serie T5;;;;;48.30;72.45;84.52;96.60;;;;;;;;;;;;;
ABB;1SDA014040R1;ABB - Cubre bornes altos 3P Serie T6;;;;;28.43;42.64;49.75;56.86;;;;;;;;;;;;;
ABB;1SCA022776R7970;ABB - Cubre borne 1P para OTM Serie OTS800G1L4;;;;;29.46;44.19;51.56;58.92;;;;;;;;;;;;;
ABB;1SDA067165R1;ABB - Kit de terminales 1x1..95mm2 Serie XT2 (6pcs);;;;;53.62;80.43;93.84;107.24;;;;;;;;;;;;;
ABB;1SDA067197R1;ABB - Kit de terminales 1x120..240mm2 Serie XT4;;;;;66.79;100.18;116.88;133.58;;;;;;;;;;;;;
ABB;1SBN081306T1000;ABB - Union de contactor y guardamotor Serie BEA16-4;;;;;3.71;5.56;6.49;7.42;;;;;;;;;;;;;
ABB;2CDS254001R0204;ABB - Interruptor min din 20A 4P Serie S200-C;;;;;22.50;33.75;39.37;45.00;;;;;;;;;;;;;
ABB;1SBL237001R1300;ABB - Contactor 26A Bobina 120V 3NO Serie AF26-30;;;;;32.64;48.96;57.12;65.28;;;;;;;;;;;;;
ABB;1SAM250000R1008;ABB - Guardamotor de 2.5..4A Serie MS116-4.0;;;;;24.21;36.31;42.36;48.42;;;;;;;;;;;;;
ABB;1SAM250000R1011;ABB - Guardamotor de 10...16A Serie MS116-16;;;;;28.50;42.75;49.87;57.00;;;;;;;;;;;;;
ABB;1SAM201901R1001;ABB - Contacto auxiliar para guardamotor 1CO Serie HKF1-11;;;;;3.85;5.77;6.73;7.70;;;;;;;;;;;;;
ABB;1SDA062775R1;ABB - Interruptor caja moldeada 1000A 3P Serie T7S;;;;;1539.77;2309.66;2694.60;3079.54;;;;;;;;;;;;;
ABB;1SDA102449R1;ABB - Interruptor caja moldeada 400A 3P UL Serie XT5N;;;;;341.97;512.96;598.45;683.94;;;;;;;;;;;;;
ABB;1SDA061981R1;ABB - Interruptor caja moldeada 800A 3P Serie T7S;;;;;1342.76;2014.14;2349.83;2685.52;;;;;;;;;;;;;
ABB;1SDA062754R1;ABB - Interruptor caja moldeada 1000A 3P Serie T7S;;;;;1637.75;2456.63;2866.06;3275.50;;;;;;;;;;;;;
ABB;1SDA063114R1;ABB - Kit de terminales 4x240mm2 con tapa Serie T7-T7M;;;;;193.50;290.25;338.63;387.00;;;;;;;;;;;;;
ABB;1SDA061662R1;ABB - Interruptor caja moldeada 800A 3P UL Serie T6S;;;;;1298.02;1947.06;2271.54;2596.04;;;;;;;;;;;;;
ABB;1SDA054911R1;ABB - Contacto auxiliar cableado 4CO 250V Serie T4..T6;;;;;56.96;85.44;99.68;113.92;;;;;;;;;;;;;
ABB;1SDA054865R1;ABB - Bobina de apertura 110..127V Serie T4..T6;;;;;31.46;47.19;55.05;62.92;;;;;;;;;;;;;
ABB;1SDA050543R1;ABB - Toroidal 185mm para Emax/Tmax;;;;;496.25;744.38;868.44;992.50;;;;;;;;;;;;;
ABB;1SBL347001R1400;ABB - Contactor 40A Bobina 240V 0NO-0NC Serie AF40-30;;;;;58.96;88.44;103.18;117.92;;;;;;;;;;;;;
ABB;1SAZ911201R1006;ABB - Rele termico para contactores de 84..96A;;;;;71.59;107.39;125.28;143.18;;;;;;;;;;;;;
ABB;1SDA063549R1;ABB - Bobina de cierre 120..127VAC/DC Serie T7M-X1;;;;;65.24;97.86;114.17;130.48;;;;;;;;;;;;;
ABB;1SDA063551R1;ABB - Bobina de bajo voltaje 120..127VAC/DC Serie T7-T7M-X1;;;;;82.44;123.66;144.27;164.88;;;;;;;;;;;;;
ABB;1SDA066428R1;ABB - Contacto auxiliar cableado 3CO 250VAC/DC Serie XT3;;;;;21.82;32.73;38.18;43.64;;;;;;;;;;;;;
